topic	page_count	sample_page
helping	3	backups_20251230_191613/helping-parents-with-technology-san-diego.html
need	3	backups_20251230_191613/need-help-now-san-diego.html
online	3	backups_20251230_191613/online-safety-help-seniors.html
suspicious	3	backups_20251230_191613/suspicious-message-help.html
usage	3	backups_20251230_191613/usage-based-ai-services.html
wallet	3	backups_20251230_191613/wallet-based-agent-payments.html
x402	3	backups_20251230_191613/x402-payments-explainer.html
time	3	clusters/time-saving-systems.html
top	3	compliance/failures/top-hipaa-compliance-mistakes.html
invoice	3	concepts/invoice-automation.html
gravity	3	fresh/gravity.html
delays	3	future-build/delays-loading-firewall-billing-and-observability-data.html
pci	3	generated/pci-compliance-simple.html
am	3	nodes/am-i-overthinking-this.html
talk	3	nodes/talk-to-a-real-human-node.html
image	3	problems/image-optimization-breaking-layout-root-cause.html
server	3	problems/server-out-of-memory-spike-fast.html
supabase	3	problems/supabase-auth-email-not-sending-fast.html
utm	3	problems/utm-tracking-broken-for-ecommerce.html
audit	3	public/compliance-audits/audit-readiness-explained.html
build	3	public/compliance-software/build-vs-buy-compliance-software.html
claims	3	public/connectors/claims-and-resolution-paths.html
hidden	3	public/connectors/hidden-cost-detection.html
tool	3	public/connectors/tool-selection-clarity.html
vendor	3	public/failure-modes/vendor-dependence.html
backup_pages__energy	3	reports/self-improve-backups/2026-03-05_002553/backup_pages__energy-directory-san-diego.html
confirm	3	seo-confirm/confirm-2026-01-05_16-56-48.html
electricity	3	site/electricity-cost-ai-advisor-san-diego.html
sdge	3	site/sdge-bill-explanation-ai-san-diego.html
-hub	2	-hub.html
ahoy	2	ahoy-transportation-san-diego.html
authority	2	authority/authority-hub.html
fees	2	authority/payments/fees.html
sops	2	authority/small-business-tech/sops.html
city	2	auto-builder/templates/city.html
im	2	autogen/html/im-not-sure-why-im-here.html
quiet	2	autogen/html/quiet-default.html
automated	2	automated-scheduling-for-san-diego-businesses-san-diego.html
overbuilt	2	compliance/examples/overbuilt-too-early.html
interchange	2	concepts/interchange-fees.html
polymarket	2	concepts/polymarket-trading.html
ductwork	2	docs/pages/ductwork-repair-san-diego.html
feeling	2	docs/pages/feeling-behind-start-here.html
urls	2	docs/pages/urls.html
weekly	2	docs/pages/weekly-signal-snapshot.html
electronic	2	electronic-payment-solutions-san-diego.html
radar	2	fresh/radar.html
open	2	future-build/open-source-solution-for-location-mapping.html
problems	2	future-build/problems-loading-dashboard-amp-elevated-builds-rate.html
speed	2	future-build/speed-insights-elevated-errors.html
hire	2	hire-an-ai-consultant-in-san-diego.html
html	2	html-sitemap.html
accountants	2	katie/accountants-apps.html
airbnb	2	pages/airbnb-payment-help-san-diego.html
field	2	pages/field-service-payments-san-diego.html
healthcare	2	pages/healthcare-tech-consulting-san-diego.html
organic	2	pages/organic-growth-san-diego.html
realtor	2	pages/realtor-payment-solutions-san-diego.html
canonical	2	problems/canonical-tag-wrong-fix-without-downtime.html
core	2	problems/core-web-vitals-lcp-too-high-for-service-business.html
cursor	2	problems/cursor-ai-agent-not-showing.html
docker	2	problems/docker-container-exits-immediately-in-2026.html
failed	2	problems/failed-payment-retry-strategy-in-2026.html
meta	2	problems/meta-ads-pixel-not-firing-fast.html
seller	2	problems/seller-account-frozen-grailed.html
spf	2	problems/spf-dkim-dmarc-misconfigured-fix-for-ecommerce.html
structured	2	problems/structured-data-errors-faq-schema-for-service-business.html
does	2	public/ai-clarity/does-ai-make-up-facts.html
airport	2	public/airport-ride-cost-san-diego.html
gdpr	2	public/compliance-fines/gdpr-fines-explained.html
iso	2	public/compliance-fines/iso-27001-non-compliance.html
incident	2	public/compliance-incidents/incident-response-vs-compliance-tools.html
vanta	2	public/compliance-software-vendors/vanta-compliance-explained.html
complexity	2	public/connectors/complexity-reduction.html
escalation	2	public/connectors/escalation-path-design.html
resolution	2	public/connectors/resolution-timeframes.html
overautomation	2	public/failure-modes/overautomation.html
decisions__index	2	reports/self-improve-backups/2026-03-05_002528/decisions__index.html
katie__index	2	reports/self-improve-backups/2026-03-05_002528/katie__index.html
pillars__ai	2	reports/self-improve-backups/2026-03-05_002528/pillars__ai-automation-master-guide.html
backup	2	reports/self-improve-backups/2026-03-05_002553/backup-who-do-i-call-20251229-1838__who-do-i-call-hvac-san-diego.html
backup_pages__how	2	reports/self-improve-backups/2026-03-05_002553/backup_pages__how-to-grow-local-business.html
pillars__auto	2	reports/self-improve-backups/2026-03-05_002553/pillars__auto-body-shops.html
pillars__payments	2	reports/self-improve-backups/2026-03-05_002553/pillars__payments-master-guide.html
policy	2	seo-reserve/macro-signal-changelog/policy-reactions-to-market-signals.html
microgrid	2	site/microgrid-ai-planning-san-diego.html
nems	2	site/nems-3-explained-san-diego.html
padres	2	site/padres-ticket-timing-real-signals.html
accepting	1	accepting-bitcoin-payments-without-risk-san-diego.html
call	1	authority/ai-automation/call-agents.html
reviews	1	authority/ai-automation/reviews.html
sms	1	authority/ai-automation/sms.html
workflows	1	authority/ai-automation/workflows.html
companies	1	authority/companies-in-hub.html
infrastructure	1	authority/infrastructure.html
settlement	1	authority/payments/settlement.html
hedging	1	authority/prediction-markets/hedging.html
structure	1	authority/prediction-markets/structure.html
vertical	1	auto-builder/templates/vertical.html
tesla	1	auto-hubs/categories/tesla-charging.html
directory	1	auto-hubs/directory.html
PHONE_GPT_INSTRUCTIONS	1	autogen/html/PHONE_GPT_INSTRUCTIONS.html
anti	1	autogen/html/anti-scam-help.html
catch	1	autogen/html/catch-all-router.html
conversation	1	autogen/html/conversation-as-interface.html
fallback	1	autogen/html/fallback-to-human.html
mission	1	autogen/html/mission.html
operating	1	autogen/html/operating-principles.html
presence	1	autogen/html/presence-over-resolution.html
principles	1	autogen/html/principles.html
something	1	autogen/html/something-feels-off.html
this	1	autogen/html/this-didnt-fit-anywhere.html
tone	1	autogen/html/tone-check.html
automate	1	automate-a-small-business-with-ai-san-diego.html
Index	1	backup_pages/Index.html
benefits	1	benefits-of-accepting-crypto-payments-san-diego.html
related	1	compliance/_partials/related-links.html
boundaries	1	compliance/boundaries.html
experience	1	compliance/experience.html
paid	1	compliance/paid.html
sample	1	compliance/reports/sample.html
readiness	1	compliance/reports/templates/readiness-report.html
programmatic	1	concepts/programmatic-seo.html
stablecoins	1	concepts/stablecoins.html
contactless	1	contactless-crypto-payments-for-retail-san-diego.html
cross	1	cross-border-payments-for-small-business-san-diego.html
cryptocurrency	1	cryptocurrency-payments-san-diego-restaurant-san-diego.html
clickup	1	decisions/clickup-vs-notion.html
webflow	1	decisions/webflow-vs-shopify.html
trending	1	fresh/trending.html
degraded	1	future-build/degraded-logs-and-traces-in-dubai-region-dxb1.html
delayed	1	future-build/delayed-firewall-observability-data.html
deployments	1	future-build/deployments-are-failing-for-customers-using-static-ips-in-dubai-region-dxb1.html
dispute	1	future-build/dispute-won-funds-not-released-after-6-months.html
dubai	1	future-build/dubai-region-dxb1-is-unavailable-and-traffic-is-being-re-routed.html
errors	1	future-build/errors-creating-support-center-cases.html
growpoint	1	future-build/growpoint-migration-api.html
gyp	1	future-build/gyp-err-stack-could-not-find-any-visual-studio-installation-to-use-but-i-x27-m-using-vscod.html
monthly	1	future-build/monthly-getting-started-web-dev-career-thread.html
most	1	future-build/most-saas-founders-think-failed-payments-are-a-stripe-problem-after-recovering-63-000-last.html
official	1	future-build/official-reasons-for-quot-software-caused-connection-abort-socket-write-quot.html
our	1	future-build/our-invoices-have-1-5-per-month-late-fees-but-nobody-pays-them-how-do-you-this.html
reimaging	1	future-build/reimaging-thinkpads-transforming-multiple-uefi-bootable-usb-keys-into-multiple-bootable-is.html
show	1	future-build/show-a-popup-warning-before-session-timeout.html
upgrading	1	future-build/upgrading-api-version.html
usd	1	future-build/usd-payout-to-vietnam-bank-name-abbreviation-issue.html
vibe	1	future-build/vibe-code-irl-left-stripe-api-keys-public.html
zookeeper	1	future-build/zookeeper-c-library-include-errors.html
payout	1	generated/payout-delays-why.html
processor	1	generated/processor-markup-explained.html
dentists	1	katie/dentists-apps.html
law	1	katie/law-firms-apps.html
realtors	1	katie/realtors-apps.html
leucadia	1	local-authority/leucadia.html
context	1	logs/context-log.html
expansion	1	logs/expansion-log.html
clusters	1	map/clusters.html
concepts	1	map/concepts.html
decisions	1	map/decisions.html
fresh	1	map/fresh.html
generated	1	map/generated.html
pillars	1	map/pillars.html
root	1	map/root.html
documentation	1	medical-device-software/documentation-that-actually-matters.html
fda	1	medical-device-software/fda-software-questions-startups-ask.html
pre	1	medical-device-software/pre-market-vs-post-market-software.html
quality	1	medical-device-software/quality-system-software-role.html
samd	1	medical-device-software/samd-vs-internal-software.html
we	1	medical-device-software/we-already-shipped-now-what.html
microwave	1	microwave-not-heating-san-diego.html
choosing	1	nodes/choosing-software-is-stressful.html
confusion	1	nodes/confusion-to-clarity-node.html
node	1	nodes/node-for-overwhelmed-people.html
pause	1	nodes/pause-before-you-buy-node.html
sanity	1	nodes/sanity-check-my-plan.html
fractional	1	pages/fractional-cto-san-diego.html
terminal	1	pages/san-diego-airport/terminal-1-vs-terminal-2-san.html
senior	1	pages/senior-care-software-help-san-diego.html
situations	1	pages/situations-we-help-with.html
painting	1	painting-project-quote-review-san-diego.html
handshake	1	partials/handshake-node.html
savings	1	payments-savings/savings-proof.html
acupuncturists	1	pillars/acupuncturists.html
advertising	1	pillars/advertising-agencies.html
animation	1	pillars/animation-studios.html
antique	1	pillars/antique-dealers.html
appraisers	1	pillars/appraisers.html
architects	1	pillars/architects.html
art	1	pillars/art-galleries.html
operations	1	pillars/operations.html
sports	1	prediction-markets/sports-hedging-strategy.html
3ds	1	problems/3ds-authentication-failing.html
add	1	problems/add-comprehensive-payment-tests-with-gateway-mocking.html
antigravity	1	problems/antigravity-ai-agent-not-working.html
arc	1	problems/arc-site-search-not-working.html
brave	1	problems/brave-site-search-not-working.html
hedgehog	1	problems/hedgehog-prediction-market.html
next	1	problems/next-sitemap-not-found.html
rank	1	problems/rank-math-sitemap-not-found.html
sezzle	1	problems/sezzle-merchant-account-frozen.html
sharepoint	1	problems/sharepoint-site-search-not-working.html
squarespace	1	problems/squarespace-payment-processing-not-working.html
stock	1	problems/stock-market-hedging-strategies.html
wix	1	problems/wix-site-search-not-working.html
finished	1	public/after-reading/finished-reading-about-compliance.html
limits	1	public/ai-clarity/limits-of-artificial-intelligence.html
alaska	1	public/airport-help/alaska-airlines-san-diego-terminal-2-help.html
allegiant	1	public/airport-help/allegiant-air-san-diego-terminal-1-help.html
american	1	public/airport-help/american-airlines-san-diego-terminal-2-help.html
british	1	public/airport-help/british-airways-san-diego-terminal-2-help.html
delta	1	public/airport-help/delta-air-lines-san-diego-terminal-2-help.html
frontier	1	public/airport-help/frontier-airlines-san-diego-terminal-1-help.html
japan	1	public/airport-help/japan-airlines-san-diego-terminal-2-help.html
jetblue	1	public/airport-help/jetblue-san-diego-terminal-2-help.html
lufthansa	1	public/airport-help/lufthansa-san-diego-terminal-2-help.html
picking	1	public/airport-help/picking-someone-up-san-diego-airport-help.html
southwest	1	public/airport-help/southwest-airlines-san-diego-terminal-1-help.html
spirit	1	public/airport-help/spirit-airlines-san-diego-terminal-1-help.html
sun	1	public/airport-help/sun-country-airlines-san-diego-terminal-1-help.html
united	1	public/airport-help/united-airlines-san-diego-terminal-2-help.html
phone_gpt_instructions	1	public/auto/phone_gpt_instructions.html
minimum	1	public/compliance-checklists/minimum-compliance-documentation.html
first	1	public/compliance-playbooks/first-time-compliance-operator-guide.html
maintaining	1	public/compliance-playbooks/maintaining-compliance-without-saas.html
_disclaimer	1	public/compliance-software-vendors/_disclaimer.html
drata	1	public/compliance-software-vendors/drata-compliance-explained.html
hyperproof	1	public/compliance-software-vendors/hyperproof-compliance-explained.html
logicgate	1	public/compliance-software-vendors/logicgate-grc-explained.html
secureframe	1	public/compliance-software-vendors/secureframe-compliance-explained.html
sprinto	1	public/compliance-software-vendors/sprinto-compliance-explained.html
buy	1	public/connectors/buy-vs-build-decisions.html
trust	1	public/connectors/trust-signals-online.html
vendors	1	public/connectors/vendors-and-lock-in.html
confidence	1	public/decision-intelligence/confidence-vs-certainty.html
explanation	1	public/decision-intelligence/explanation-before-action.html
false	1	public/decision-intelligence/false-urgency-detection.html
option	1	public/decision-intelligence/option-mapping.html
second	1	public/decision-intelligence/second-order-effects.html
timing	1	public/decision-intelligence/timing-advantage.html
tradeoff	1	public/decision-intelligence/tradeoff-clarity.html
unknown	1	public/decision-intelligence/unknown-unknowns.html
borders	1	public/expansion/borders-cruise.html
stadiums	1	public/expansion/stadiums.html
irreversible	1	public/failure-modes/irreversible-choices.html
misaligned	1	public/failure-modes/misaligned-incentives.html
misleading	1	public/failure-modes/misleading-metrics.html
outsourced	1	public/failure-modes/outsourced-thinking.html
premature	1	public/failure-modes/premature-optimization.html
unchecked	1	public/failure-modes/unchecked-ai-output.html
california	1	public/local-compliance/california-compliance-software-explained.html
where	1	public/money-clarity/where-did-my-money-go.html
own	1	public/own-your-compliance/own-your-gdpr-soc2-hipaa-compliance.html
priority	1	public/priority-help.html
clarify	1	public/resolution-paths/clarify-before-committing.html
delay	1	public/resolution-paths/delay-irrevocable-steps.html
exit	1	public/resolution-paths/exit-plan-design.html
map	1	public/resolution-paths/map-options-first.html
contract	1	public/signals/contract-interpretation.html
legacy	1	public/signals/legacy-system-migration.html
transportation	1	public/transportation-options-san-diego.html
late	1	public/who-do-i-call/airport/late-night-flight-arrival.html
er	1	public/who-do-i-call/hospital/er-wait-too-long.html
hospital	1	public/who-do-i-call/hospital/hospital-billing-confusion.html
lost	1	public/who-do-i-call/university/lost-on-campus.html
questions	1	questions-to-ask-an-ai-consultant-san-diego.html
red	1	red-flags-when-hiring-an-ai-consultant-san-diego.html
refrigerator	1	refrigerator-not-cooling-san-diego.html
concepts__index	1	reports/self-improve-backups/2026-03-05_002528/concepts__index.html
fresh__gravity	1	reports/self-improve-backups/2026-03-05_002528/fresh__gravity.html
fresh__radar	1	reports/self-improve-backups/2026-03-05_002528/fresh__radar.html
problems__index	1	reports/self-improve-backups/2026-03-05_002528/problems__index.html
backup_old_pages__ai	1	reports/self-improve-backups/2026-03-05_002553/backup_old_pages__ai-crypto-wallet-setup-help.html
backup_pages__Energy	1	reports/self-improve-backups/2026-03-05_002553/backup_pages__Energy-Payments-San-Diego.html
backup_pages__commercial	1	reports/self-improve-backups/2026-03-05_002553/backup_pages__commercial-hvac-san-diego.html
backup_pages__emergency	1	reports/self-improve-backups/2026-03-05_002553/backup_pages__emergency-hvac-san-diego.html
backup_pages__hvac	1	reports/self-improve-backups/2026-03-05_002553/backup_pages__hvac-contractor-payment-processing-san-diego.html
backup_pages__local	1	reports/self-improve-backups/2026-03-05_002553/backup_pages__local-ai-directory.html
clusters__ai	1	reports/self-improve-backups/2026-03-05_002553/clusters__ai-workflow-automation.html
clusters__payment	1	reports/self-improve-backups/2026-03-05_002553/clusters__payment-fees.html
concepts__ai	1	reports/self-improve-backups/2026-03-05_002553/concepts__ai-automation.html
concepts__crypto	1	reports/self-improve-backups/2026-03-05_002553/concepts__crypto-payments.html
concepts__payment	1	reports/self-improve-backups/2026-03-05_002553/concepts__payment-processing.html
concepts__prediction	1	reports/self-improve-backups/2026-03-05_002553/concepts__prediction-markets.html
decisions__claude	1	reports/self-improve-backups/2026-03-05_002553/decisions__claude-vs-openai-gpt.html
decisions__kalshi	1	reports/self-improve-backups/2026-03-05_002553/decisions__kalshi-vs-polymarket.html
decisions__stripe	1	reports/self-improve-backups/2026-03-05_002553/decisions__stripe-vs-square.html
decisions__zapier	1	reports/self-improve-backups/2026-03-05_002553/decisions__zapier-vs-make-automation.html
knowledge__sideguy	1	reports/self-improve-backups/2026-03-05_002553/knowledge__sideguy-knowledge-map.html
pillars__advertising	1	reports/self-improve-backups/2026-03-05_002553/pillars__advertising-agencies.html
pillars__animation	1	reports/self-improve-backups/2026-03-05_002553/pillars__animation-studios.html
pillars__appliance	1	reports/self-improve-backups/2026-03-05_002553/pillars__appliance-repair-companies.html
pillars__bakeries	1	reports/self-improve-backups/2026-03-05_002553/pillars__bakeries-in-chula-vista.html
pillars__crypto	1	reports/self-improve-backups/2026-03-05_002553/pillars__crypto-payments-master-guide.html
pillars__san	1	reports/self-improve-backups/2026-03-05_002553/pillars__san-diego-operator-guide.html
pillars__small	1	reports/self-improve-backups/2026-03-05_002553/pillars__small-business-systems.html
risks	1	risks-of-accepting-crypto-payments-san-diego.html
graph	1	routing/graph-log.html
avoid	1	seo-reserve/build-nothing-yet/avoid-overbuilding-saas.html
founder	1	seo-reserve/build-nothing-yet/founder-decision-restraint.html
signs	1	seo-reserve/build-nothing-yet/signs-you-are-building-too-early.html
cash	1	seo-reserve/contractors-paid-faster/cash-flow-problems-for-contractors.html
integration	1	seo-reserve/enterprise-sales-blockers/integration-requirements-sales-blocker.html
legal	1	seo-reserve/enterprise-sales-blockers/legal-review-delays-explained.html
institutional	1	seo-reserve/macro-signal-changelog/institutional-behavior-changes.html
macro	1	seo-reserve/macro-signal-changelog/macro-shifts-explained.html
market	1	seo-reserve/macro-signal-changelog/market-signals-vs-media-narratives.html
technology	1	seo-reserve/macro-signal-changelog/technology-adoption-inflection-points.html
bitcoin	1	seo-reserve/prediction-markets/bitcoin-volatility-and-market-signals.html
stubhub	1	seo-reserve/tickets/san-diego/stubhub-ticket-not-received-san-diego.html
sewage	1	sewage-smell-san-diego.html
SHIP	1	shipped/pages/SHIP-002.html
baseline	1	site/baseline-allowance-explained-san-diego.html
black	1	site/black-box-energy-ai-risks-san-diego.html
costs	1	site/costs-change-after-having-a-baby.html
delivery	1	site/delivery-charges-explained-san-diego.html
divorce	1	site/divorce-major-decision-overload.html
early	1	site/early-business-cost-decisions.html
financial	1	site/financial-and-energy-decisions-after-divorce.html
generation	1	site/generation-vs-delivery-costs-san-diego.html
having	1	site/having-a-baby-big-decisions.html
inheritance	1	site/inheritance-big-decisions-what-not-to-do.html
life	1	site/life-transition-second-opinion.html
managing	1	site/managing-costs-after-inheritance.html
net	1	site/net-metering-changes-explained-san-diego.html
outcomes	1	site/outcomes.html
stuck	1	site/pages/stuck-business-help-san-diego.html
retirement	1	site/retirement-decision-clarity.html
starting	1	site/starting-a-business-decision-mistakes.html
sudden	1	site/sudden-electric-bill-spike-san-diego.html
using	1	site/using-ai-without-regret.html
utility	1	site/utility-pricing-explained-san-diego.html
will	1	site/will-energy-get-more-expensive-san-diego.html
slab	1	slab-leak-san-diego.html
quote	1	templates/quote-review-template.html
concert	1	tickets/concert-vs-sports-ticket-timing.html
petco	1	tickets/petco-park-wait-or-buy-tickets.html
seismograph	1	trends/seismograph.html
web3	1	web3-payments-for-main-street-businesses-san-diego.html
leaking	1	who-do-i-call/leaking-ceiling.html
smell	1	who-do-i-call/smell-gas-house.html
weird	1	who-do-i-call/weird-smell-house.html
